ID_1,NAME_1,NORTING,EASTING
"1",Aceh,4.22196,96.90901
"2",Bali,-8.36965,115.13173
"3",Bangka-Belitung,-2.44973,106.55575
"4",Banten,-6.45623,106.10769
"5",Bengkulu,-3.55870,102.34468
"6",Gorontalo,0.68728,122.37416
"7",Irian Jaya Barat,-2.01028,132.93095
"8",Jakarta Raya,-6.19907,106.83370
"9",Jambi,-1.69770,102.72190
"10",Jawa Barat,-6.91986,107.60306
"11",Jawa Tengah,-7.25857,110.20005
"12",Jawa Timur,-7.71906,112.73342
"13",Kalimantan Barat,-0.08610,111.12065
"14",Kalimantan Selatan,-3.00151,115.43494
"15",Kalimantan Tengah,-1.60104,113.41681
"16",Kalimantan Timur,0.46285,116.46368
"17",Kalimantan Utara,2.90641,116.23362
"18",Kepulauan Riau,1.49235,105.42788
"19",Lampung,-4.91839,105.02339
"20",Maluku Utara,0.20726,127.53749
"21",Maluku,-4.73691,129.84935
"22",Nusa Tenggara Barat,-8.60268,117.51028
"23",Nusa Tenggara Timur,-9.25929,122.18022
"24",Papua,-4.64529,138.66055
"25",Riau,0.50540,101.80742
"26",Sulawesi Barat,-2.46124,119.33930
"27",Sulawesi Selatan,-3.70543,120.17027
"28",Sulawesi Tengah,-1.00291,121.20508
"29",Sulawesi Tenggara,-4.14047,122.08283
"30",Sulawesi Utara,1.26607,124.52552
"31",Sumatera Barat,-0.86083,100.46240
"32",Sumatera Selatan,-3.21658,104.16898
"33",Sumatera Utara,2.18964,99.05783
"34",Yogyakarta,-7.89508,110.44663
