"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x346389118","x1461565642776084480",2021-11-19 05:22:58,"AIESEC_UGM","Register through https://t.co/QTMfpk92Wx and book your seats now 🎉

📞 Contact Person: 
Monica +6281310052800
Will +6281291178260

#CreatingSustainableIMPACT
#ImpactCircle
#AIESECinUGM","Twitter for iPhone",183,"x1461565640288866308","x346389118","AIESEC_UGM",FALSE,FALSE,1,0,,,"CreatingSustainableIMPACT ImpactCircle AIESECinUGM",,"bit.ly/RegistICUGMNov","https://t.co/QTMfpk92Wx","http://bit.ly/RegistICUGMNov",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1461565642776084480","AIESEC in Universitas Gadjah Mada","Yogyakarta, Indonesia","The world’s largest global student-run organization. An international platform for youth to develop themselves. AIESEC Local Committee Universitas Gadjah Mada.","https://t.co/ugMWrXV2RA",FALSE,4655,296,18,9522,177,2011-08-01 05:33:16,FALSE,"https://t.co/ugMWrXV2RA","http://aiesecugm.org",,"https://pbs.twimg.com/profile_banners/346389118/1628777850","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1425824029127024642/-pYVpv7O_normal.jpg"
"x1479148686","x1471295001707487234",2021-12-16 01:43:58,"UGMLibrary","Pada hari Selasa 14 Desember 2021, Seminar Perpustakaan UGM bertajuk ""PERPUSTAKAAN PASCA PANDEMI : Sumber Daya Manusia, Koleksi dan Layanan"". Seminar dibuka oleh Kepala Perpustakaan UGM ibu Dra Nawang Purwanti, M.Lib. https://t.co/o7mStbwzF0","Twitter for iPad",217,,,,FALSE,FALSE,12,1,,,,,,,,"http://pbs.twimg.com/media/FGsW_9MVcAEdAHg.jpg","https://t.co/o7mStbwzF0","https://twitter.com/UGMLibrary/status/1471295001707487234/photo/1","photo","http://pbs.twimg.com/media/FGsW_9MVcAEdAHg.jpg http://pbs.twimg.com/media/FGsW_9NVUAMqra5.jpg http://pbs.twimg.com/media/FGsW_9SVkAA--OG.jpg http://pbs.twimg.com/media/FGsW_-xVEAExivA.jpg","https://t.co/o7mStbwzF0 https://t.co/o7mStbwzF0 https://t.co/o7mStbwzF0 https://t.co/o7mStbwzF0","https://twitter.com/UGMLibrary/status/1471295001707487234/photo/1 https://twitter.com/UGMLibrary/status/1471295001707487234/photo/1 https://twitter.com/UGMLibrary/status/1471295001707487234/photo/1 https://twitter.com/UGMLibrary/status/1471295001707487234/photo/1",,,,"in",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1471295001707487234","Library of Universitas Gadjah Mada","Yogyakarta","Akun Resmi Perpustakaan Universitas Gadjah Mada
Jam Pelayanan Luring Perpustakaan :
Senin-Jumat 08.00-16.00 WIB
Sabtu 08.00-12.00 WIB","https://t.co/ZpsVjeCMvu",FALSE,3514,55,6,1868,111,2013-06-03 08:16:52,FALSE,"https://t.co/ZpsVjeCMvu","http://lib.ugm.ac.id",,"https://pbs.twimg.com/profile_banners/1479148686/1553601582","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1103161732770390026/ZJm7yebS_normal.jpg"
"x1468884852","x1466381112544940033",2021-12-02 12:17:55,"IFSALCUGM","Hopefully through the discussion, we will be able to hone our critical thinking skills notably as a forestry student. See you at the event! 

#IFSACollaboration
#IFSALCUGM
#IFSALCITB
#2021","Twitter for Android",188,"x1466381059252101126","x1468884852","IFSALCUGM",FALSE,FALSE,0,0,,,"IFSACollaboration IFSALCUGM IFSALCITB",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1466381112544940033","IFSA Local Committee Universitas Gadjah Mada","Yogyakarta, Indonesia","Find a wonderful sense of being forestry student by joining IFSA.

📨Contact us: ifsa.ugm@gmail.com
https://t.co/AhLMcei34d","https://t.co/XDMhnhyFPo",FALSE,571,197,6,4280,127,2013-05-30 04:18:15,FALSE,"https://t.co/XDMhnhyFPo","http://ifsalcugm.com/",,"https://pbs.twimg.com/profile_banners/1468884852/1547306606","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/717638809668550657/QfMqxJZ5_normal.jpg"
"x151261945","x1470635759161909253",2021-12-14 06:04:22,"UGMYogyakarta","#UGMUpdate Menuju Dies Natalis ke-72 UGM https://t.co/spvMKi2fH4","Twitter Media Studio",64,,,,FALSE,FALSE,17,2,,,"UGMUpdate",,"twitter.com/i/broadcasts/1…","https://t.co/spvMKi2fH4","https://twitter.com/i/broadcasts/1eaKbNZqBmXKX",,,,,,,,,,,"in",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1470635759161909253","UGM","Yogyakarta, Indonesia","UGM | Universitas Gadjah Mada | Mengakar Kuat, Menjulang Tinggi | Pendaftaran: https://t.co/fj59mf54j8 | Aspirasi : https://t.co/ZYbDzlsKdU","http://t.co/PcRzoMmFXP",FALSE,1130738,1168,357,19443,36,2010-06-03 00:46:24,TRUE,"http://t.co/PcRzoMmFXP","http://ugm.ac.id",,"https://pbs.twimg.com/profile_banners/151261945/1486345340","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/932874895389638656/fDT8AaGJ_normal.jpg"
"x488103938","x1468354459570868225",2021-12-07 22:59:18,"crcsugm","Keberadaan agama dunia dan agama leluhur tidak harus dipahami sebagai hal bertentangan atau mutually exclussive. Keduanya bisa beriringan bahkan eksis bersamaan dalam ruang dan simbol yang sama. Batang Garing salah satu contohnya. 
https://t.co/2i2ZUm98zI","Twitter Web App",255,,,,FALSE,FALSE,2,1,,,,,"crcs.ugm.ac.id/batang-garing-…","https://t.co/2i2ZUm98zI","https://crcs.ugm.ac.id/batang-garing-sebuah-identitas-penembus-batas/",,,,,,,,,,,"in",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1468354459570868225","CRCS UGM","Yogyakarta - Indonesia","Program Studi Agama dan Lintas Budaya | Center for Religious and Cross-cultural Studies (CRCS) at the Graduate School, Universitas Gadjah Mada","https://t.co/fV1n3rrmcl",FALSE,2768,74,8,1244,1,2012-02-10 02:47:45,FALSE,"https://t.co/fV1n3rrmcl","http://crcs.ugm.ac.id",,"https://pbs.twimg.com/profile_banners/488103938/1555161911","http://abs.twimg.com/images/themes/theme9/bg.gif","http://pbs.twimg.com/profile_images/1001748251819753472/ZEGsFmQz_normal.jpg"
"x104404692","x1471448919385128960",2021-12-16 11:55:35,"oiaugm","(Malaysia) Exchange Program Spring 2022 Universiti Kebangsaan Malaysia (UKM) https://t.co/3etLb9LR8s","dlvr.it",100,,,,FALSE,FALSE,0,0,,,,,"dlvr.it/SFTnN9","https://t.co/3etLb9LR8s","http://dlvr.it/SFTnN9",,,,,,,,,,,"in",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1471448919385128960","OIA UGM","Yogyakarta","Office of International Affairs Universitas Gadjah Mada. Follow us for announcements, exchange programs and event updates. | IG: @oiaugm","https://t.co/oFVKGuub20",FALSE,5891,51,43,3096,5,2010-01-13 06:43:12,FALSE,"https://t.co/oFVKGuub20","https://oia.ugm.ac.id",,"https://pbs.twimg.com/profile_banners/104404692/1362479800","http://abs.twimg.com/images/themes/theme15/bg.png","http://pbs.twimg.com/profile_images/1378254018569400320/2nj70k5h_normal.jpg"
"x430430372","x1453607617197068288",2021-10-28 06:20:37,"PSKKUGM","Selamat Hari Sumpah Pemuda 2021
bertema Bersatu, Bangkit, dan Tumbuh yang berarti harapan agar pemuda bangsa bersatu membangun persatuan dalam keberagaman di Indonesia. Bangkit melawan pandemi Covid-19, dan tumbuh mewujudkan pertumbuhan ekonomi  dengan semangat kewirausahaan. https://t.co/VnRZwQLlKQ","Twitter Web App",276,,,,FALSE,FALSE,0,0,,,,,,,,"http://pbs.twimg.com/media/FCw_cYjVgAECEvi.jpg","https://t.co/VnRZwQLlKQ","https://twitter.com/PSKKUGM/status/1453607617197068288/photo/1","photo","http://pbs.twimg.com/media/FCw_cYjVgAECEvi.jpg","https://t.co/VnRZwQLlKQ","https://twitter.com/PSKKUGM/status/1453607617197068288/photo/1",,,,"in",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1453607617197068288","PSKK UGM","Yogyakarta","The Research for Education & Community Services | Official account of Center for Population & Policy Studies, Universitas Gadjah Mada","https://t.co/g8tFPpIaYM",FALSE,1802,267,2,11747,75,2011-12-07 04:52:31,FALSE,"https://t.co/g8tFPpIaYM","http://linktr.ee/pskkugm",,"https://pbs.twimg.com/profile_banners/430430372/1481699163","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/741122092909891585/fGV6ekDF_normal.jpg"
"x138273541","x1467414214998253568",2021-12-05 08:43:06,"eds_ugm","Having trouble scanning the barcode? You can also access the Spotify playlist through the link down below:
https://t.co/mTa7wnkmAp

Enjoy!!🎶🎶","Twitter Web App",141,"x1467411912816091140","x138273541","eds_ugm",FALSE,FALSE,1,1,,,,,"bit.ly/EDSUGMSpotify","https://t.co/mTa7wnkmAp","https://bit.ly/EDSUGMSpotify",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1467414214998253568","EDS-UGM","Yogyakarta, Indonesia","Unit Kegiatan Mahasiswa (UKM) English Debating Society Universitas Gadjah Mada",,FALSE,1702,181,9,4018,53,2010-04-29 02:55:35,FALSE,,,,"https://pbs.twimg.com/profile_banners/138273541/1557110381","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/767920137781383168/r3slYsEr_normal.jpg"
"x151566668","x1471088114777001987",2021-12-15 12:01:52,"cimsaugm","[RETROGAIDS: The Webinar]

SCORA CIMSA UGM dengan bangga mempersembahkan RETROGAIDS: The Webinar,  acara puncak dari rangkaian aktivitas RETROGAIDS!

✅ FREE BIAYA PENDAFTARAN 
✅ FREE E-CERTIFICATE 
✅ FREE 3 SKP IDI 

CIMSA
Empowering Medical Students
Improving Nation's Health https://t.co/f13NJ3qpyL","Twitter for Android",276,,,,FALSE,FALSE,5,1,,,,,,,,"http://pbs.twimg.com/media/FGpa1-jVQAMmkfJ.jpg","https://t.co/f13NJ3qpyL","https://twitter.com/cimsaugm/status/1471088114777001987/photo/1","photo","http://pbs.twimg.com/media/FGpa1-jVQAMmkfJ.jpg","https://t.co/f13NJ3qpyL","https://twitter.com/cimsaugm/status/1471088114777001987/photo/1",,,,"in",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1471088114777001987","CIMSA UGM","Universitas Gadjah Mada","Center for Indonesian Medical Students' Activities Universitas Gadjah Mada. Contact us on: vlecimsaugm@gmail.com | +6282233431108","https://t.co/zTeSA1q1AB",FALSE,1262,344,16,4987,36,2010-06-03 18:15:17,FALSE,"https://t.co/zTeSA1q1AB","http://cimsa.fk.ugm.ac.id",,"https://pbs.twimg.com/profile_banners/151566668/1435581062","http://abs.twimg.com/images/themes/theme15/bg.png","http://pbs.twimg.com/profile_images/786816496978628610/Dobv4LzU_normal.jpg"
"x120167521","x1468175157915049984",2021-12-07 11:06:49,"alsalcugm","#JusticiaBerbagi
#ForumJusticiaBerbagiFHUGM
______________________
To Inspire and To Aspire

ALSA, Always be On","Twitter Web App",111,"x1468175154987425796","x120167521","alsalcugm",FALSE,FALSE,0,0,,,"JusticiaBerbagi ForumJusticiaBerbagiFHUGM",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1468175157915049984","ALSA LC UGM","Yogyakarta, Indonesia. ","The official Twitter account of Asian Law Students' Association Local Chapter Universitas Gadjah Mada. ALSA, Always be One!","https://t.co/0NJFw61sHt",FALSE,1574,213,9,5675,26,2010-03-05 17:28:01,FALSE,"https://t.co/0NJFw61sHt","http://www.alsalcugm.org",,"https://pbs.twimg.com/profile_banners/120167521/1619605037","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1396434505519435776/bYMKdkSy_normal.jpg"
